engagement_date,sales_rep,region,source,activity_type,meetings_booked,meetings_held,pipeline_amount,closed_amount
2026-05-29,Sam Okafor,East,inbound,demo,1,1,6700,0
2026-05-29,Sam Okafor,East,referral,demo,1,1,12200,0
2026-05-29,Taylor Reed,West,event,closing,1,1,19600,6600
2026-06-01,Avery Chen,West,event,follow-up,1,1,11400,0
2026-06-01,Avery Chen,West,referral,closing,1,1,8100,0
2026-06-01,Avery Chen,West,partner,closing,1,1,16800,0
2026-06-01,Jordan Blake,East,partner,discovery,1,0,0,0
2026-06-01,Priya Nair,Central,partner,follow-up,1,0,0,0
2026-06-01,Priya Nair,Central,inbound,follow-up,1,1,15500,0
2026-06-01,Priya Nair,Central,event,closing,1,1,16900,13700
2026-06-01,Priya Nair,Central,event,discovery,1,0,0,0
2026-06-01,Sam Okafor,East,event,demo,1,0,0,0
2026-06-01,Sam Okafor,East,inbound,demo,1,0,0,0
2026-06-01,Sam Okafor,East,outbound,demo,1,1,24400,0
2026-06-01,Sam Okafor,East,referral,demo,1,1,9400,0
2026-06-01,Taylor Reed,West,outbound,demo,1,1,23700,0
2026-06-01,Taylor Reed,West,event,discovery,1,0,0,0
2026-06-01,Taylor Reed,West,event,demo,1,0,0,0
2026-06-02,Avery Chen,West,referral,closing,1,1,17100,0
2026-06-02,Avery Chen,West,partner,discovery,1,0,0,0
2026-06-02,Jordan Blake,East,inbound,closing,1,1,2400,900
2026-06-02,Jordan Blake,East,partner,follow-up,1,1,4300,2300
2026-06-02,Jordan Blake,East,inbound,closing,1,1,10600,0
2026-06-02,Jordan Blake,East,outbound,discovery,1,1,3000,0
2026-06-02,Priya Nair,Central,partner,closing,1,1,17100,15400
2026-06-02,Priya Nair,Central,inbound,demo,1,1,13900,5700
2026-06-02,Priya Nair,Central,partner,demo,1,1,11300,0
2026-06-02,Sam Okafor,East,outbound,closing,1,1,21000,6500
2026-06-02,Sam Okafor,East,referral,demo,1,1,8900,5600
2026-06-02,Sam Okafor,East,partner,follow-up,1,0,0,0
2026-06-02,Sam Okafor,East,inbound,demo,1,1,18300,16600
2026-06-02,Taylor Reed,West,event,closing,1,1,9100,0
2026-06-02,Taylor Reed,West,outbound,demo,1,1,18200,0
2026-06-02,Taylor Reed,West,outbound,discovery,1,1,24300,18900
2026-06-03,Avery Chen,West,referral,follow-up,1,0,0,0
2026-06-03,Avery Chen,West,event,closing,1,1,11500,0
2026-06-03,Jordan Blake,East,referral,follow-up,1,1,22500,0
2026-06-03,Jordan Blake,East,inbound,closing,1,0,0,0
2026-06-03,Priya Nair,Central,partner,follow-up,1,1,8900,8600
2026-06-03,Priya Nair,Central,outbound,demo,1,1,14600,8000
2026-06-03,Sam Okafor,East,inbound,demo,1,1,12400,0
2026-06-03,Taylor Reed,West,inbound,discovery,1,0,0,0
2026-06-03,Taylor Reed,West,event,demo,1,1,2100,0
2026-06-04,Avery Chen,West,event,closing,1,1,20100,9700
2026-06-04,Avery Chen,West,referral,closing,1,1,15100,0
2026-06-04,Avery Chen,West,inbound,demo,1,1,22300,11000
2026-06-04,Avery Chen,West,event,closing,1,0,0,0
2026-06-04,Jordan Blake,East,inbound,follow-up,1,1,2600,0
2026-06-04,Priya Nair,Central,inbound,discovery,1,1,18900,0
2026-06-04,Priya Nair,Central,event,closing,1,1,20100,0
2026-06-04,Priya Nair,Central,event,closing,1,1,10400,3200
2026-06-04,Priya Nair,Central,referral,follow-up,1,1,21700,0
2026-06-04,Sam Okafor,East,partner,closing,1,1,20100,16900
2026-06-04,Sam Okafor,East,outbound,closing,1,1,6500,0
2026-06-04,Sam Okafor,East,outbound,closing,1,1,25800,0
2026-06-04,Taylor Reed,West,event,demo,1,1,2600,0
2026-06-04,Taylor Reed,West,referral,demo,1,1,16800,0
2026-06-05,Avery Chen,West,outbound,discovery,1,1,5400,0
2026-06-05,Avery Chen,West,event,follow-up,1,1,16900,0
2026-06-05,Jordan Blake,East,inbound,follow-up,1,0,0,0
2026-06-05,Jordan Blake,East,referral,follow-up,1,1,20000,0
2026-06-05,Jordan Blake,East,partner,follow-up,1,1,21200,0
2026-06-05,Jordan Blake,East,partner,demo,1,1,10800,0
2026-06-05,Priya Nair,Central,referral,discovery,1,0,0,0
2026-06-05,Priya Nair,Central,partner,closing,1,1,4400,0
2026-06-05,Sam Okafor,East,outbound,demo,1,1,2100,1400
2026-06-05,Sam Okafor,East,event,demo,1,1,9900,0
2026-06-05,Taylor Reed,West,inbound,discovery,1,1,16200,10800
2026-06-05,Taylor Reed,West,referral,closing,1,1,5400,0
2026-06-05,Taylor Reed,West,inbound,follow-up,1,1,3500,0
2026-06-08,Avery Chen,West,referral,discovery,1,1,13000,0
2026-06-08,Avery Chen,West,event,discovery,1,1,21000,0
2026-06-08,Avery Chen,West,outbound,follow-up,1,1,23800,0
2026-06-08,Jordan Blake,East,inbound,follow-up,1,0,0,0
2026-06-08,Jordan Blake,East,inbound,follow-up,1,0,0,0
2026-06-08,Jordan Blake,East,inbound,follow-up,1,0,0,0
2026-06-08,Jordan Blake,East,event,follow-up,1,1,4800,0
2026-06-08,Priya Nair,Central,outbound,follow-up,1,1,21200,0
2026-06-08,Priya Nair,Central,inbound,discovery,1,1,4800,2100
2026-06-08,Sam Okafor,East,referral,closing,1,1,7600,4100
2026-06-08,Sam Okafor,East,partner,demo,1,1,25300,0
2026-06-08,Sam Okafor,East,referral,closing,1,1,2600,0
2026-06-08,Taylor Reed,West,referral,demo,1,0,0,0
2026-06-08,Taylor Reed,West,outbound,discovery,1,1,13100,0
2026-06-08,Taylor Reed,West,event,demo,1,1,25300,0
2026-06-08,Taylor Reed,West,event,discovery,1,1,6200,0
2026-06-09,Avery Chen,West,partner,demo,1,0,0,0
2026-06-09,Avery Chen,West,partner,closing,1,1,19200,0
2026-06-09,Jordan Blake,East,inbound,demo,1,0,0,0
2026-06-09,Priya Nair,Central,event,discovery,1,1,20500,0
2026-06-09,Priya Nair,Central,inbound,follow-up,1,0,0,0
2026-06-09,Priya Nair,Central,referral,discovery,1,1,16800,0
2026-06-09,Sam Okafor,East,event,follow-up,1,1,20500,0
2026-06-09,Sam Okafor,East,event,discovery,1,1,9800,0
2026-06-09,Taylor Reed,West,referral,closing,1,1,2500,0
2026-06-09,Taylor Reed,West,inbound,discovery,1,0,0,0
2026-06-10,Avery Chen,West,partner,closing,1,1,19500,0
2026-06-10,Avery Chen,West,partner,closing,1,0,0,0
2026-06-10,Avery Chen,West,event,discovery,1,0,0,0
2026-06-10,Avery Chen,West,partner,closing,1,1,21300,10800
2026-06-10,Jordan Blake,East,referral,follow-up,1,1,24200,0
2026-06-10,Jordan Blake,East,event,demo,1,1,17500,0
2026-06-10,Priya Nair,Central,outbound,follow-up,1,1,8900,0
2026-06-10,Sam Okafor,East,inbound,demo,1,1,14100,0
2026-06-10,Sam Okafor,East,outbound,follow-up,1,1,4300,1600
2026-06-10,Sam Okafor,East,event,discovery,1,1,2500,0
2026-06-10,Sam Okafor,East,event,closing,1,1,4300,0
2026-06-10,Taylor Reed,West,referral,closing,1,1,13900,0
2026-06-10,Taylor Reed,West,event,closing,1,1,25200,0
2026-06-10,Taylor Reed,West,partner,demo,1,0,0,0
2026-06-11,Avery Chen,West,inbound,closing,1,1,10900,0
2026-06-11,Avery Chen,West,referral,discovery,1,1,24500,0
2026-06-11,Avery Chen,West,event,follow-up,1,1,23200,20200
2026-06-11,Avery Chen,West,event,follow-up,1,1,6300,6000
2026-06-11,Jordan Blake,East,inbound,closing,1,1,18100,15100
2026-06-11,Jordan Blake,East,event,follow-up,1,1,4500,0
2026-06-11,Jordan Blake,East,outbound,closing,1,1,12200,0
2026-06-11,Jordan Blake,East,inbound,demo,1,1,6400,2800
2026-06-11,Priya Nair,Central,outbound,discovery,1,0,0,0
2026-06-11,Sam Okafor,East,referral,closing,1,0,0,0
2026-06-11,Taylor Reed,West,inbound,discovery,1,0,0,0
2026-06-12,Avery Chen,West,referral,discovery,1,0,0,0
2026-06-12,Avery Chen,West,event,demo,1,0,0,0
2026-06-12,Avery Chen,West,outbound,discovery,1,1,5200,0
2026-06-12,Jordan Blake,East,partner,discovery,1,1,5800,2200
2026-06-12,Priya Nair,Central,outbound,demo,1,0,0,0
2026-06-12,Priya Nair,Central,partner,follow-up,1,0,0,0
2026-06-12,Sam Okafor,East,inbound,demo,1,1,23200,0
2026-06-12,Taylor Reed,West,outbound,follow-up,1,1,4100,4100
2026-06-15,Avery Chen,West,referral,discovery,1,1,22700,0
2026-06-15,Jordan Blake,East,partner,closing,1,1,7100,0
2026-06-15,Jordan Blake,East,outbound,discovery,1,1,9500,0
2026-06-15,Priya Nair,Central,partner,demo,1,0,0,0
2026-06-15,Sam Okafor,East,event,follow-up,1,1,10700,4300
2026-06-15,Taylor Reed,West,outbound,closing,1,0,0,0
2026-06-15,Taylor Reed,West,event,closing,1,0,0,0
2026-06-15,Taylor Reed,West,inbound,closing,1,1,10700,7100
2026-06-15,Taylor Reed,West,referral,discovery,1,1,2900,0
2026-06-16,Avery Chen,West,referral,closing,1,1,3300,0
2026-06-16,Jordan Blake,East,outbound,demo,1,1,8500,0
2026-06-16,Jordan Blake,East,outbound,follow-up,1,1,14700,0
2026-06-16,Priya Nair,Central,referral,discovery,1,1,8700,0
2026-06-16,Priya Nair,Central,partner,discovery,1,0,0,0
2026-06-16,Priya Nair,Central,event,discovery,1,1,15200,0
2026-06-16,Priya Nair,Central,partner,closing,1,1,16500,13600
2026-06-16,Sam Okafor,East,inbound,follow-up,1,0,0,0
2026-06-16,Taylor Reed,West,partner,follow-up,1,1,5300,1900
2026-06-17,Avery Chen,West,outbound,demo,1,1,19200,0
2026-06-17,Avery Chen,West,referral,discovery,1,0,0,0
2026-06-17,Avery Chen,West,referral,discovery,1,1,6700,0
2026-06-17,Jordan Blake,East,referral,closing,1,1,13500,8600
2026-06-17,Jordan Blake,East,outbound,demo,1,1,16700,7700
2026-06-17,Jordan Blake,East,partner,discovery,1,0,0,0
2026-06-17,Jordan Blake,East,outbound,closing,1,1,17200,0
2026-06-17,Priya Nair,Central,outbound,demo,1,1,13000,0
2026-06-17,Sam Okafor,East,partner,discovery,1,1,12100,0
2026-06-17,Sam Okafor,East,outbound,closing,1,1,16200,0
2026-06-17,Sam Okafor,East,partner,closing,1,0,0,0
2026-06-17,Sam Okafor,East,referral,follow-up,1,0,0,0
2026-06-17,Taylor Reed,West,outbound,demo,1,0,0,0
2026-06-17,Taylor Reed,West,referral,closing,1,1,4400,3700
2026-06-17,Taylor Reed,West,inbound,demo,1,1,18600,0
2026-06-18,Avery Chen,West,inbound,demo,1,1,21400,14700
2026-06-18,Avery Chen,West,partner,discovery,1,1,5200,0
2026-06-18,Avery Chen,West,partner,discovery,1,1,16700,0
2026-06-18,Avery Chen,West,referral,follow-up,1,0,0,0
2026-06-18,Jordan Blake,East,outbound,closing,1,1,12400,0
2026-06-18,Priya Nair,Central,event,discovery,1,1,14600,7800
2026-06-18,Priya Nair,Central,partner,discovery,1,0,0,0
2026-06-18,Sam Okafor,East,inbound,closing,1,1,11200,8700
2026-06-18,Sam Okafor,East,referral,closing,1,1,25500,0
2026-06-18,Taylor Reed,West,outbound,discovery,1,1,22700,0
2026-06-18,Taylor Reed,West,inbound,follow-up,1,1,11300,0
2026-06-18,Taylor Reed,West,outbound,demo,1,1,3300,0
2026-06-18,Taylor Reed,West,referral,follow-up,1,1,7500,0
2026-06-19,Avery Chen,West,event,discovery,1,1,24600,23800
2026-06-19,Avery Chen,West,event,closing,1,1,3100,0
2026-06-19,Jordan Blake,East,referral,discovery,1,0,0,0
2026-06-19,Jordan Blake,East,event,closing,1,1,6600,4700
2026-06-19,Jordan Blake,East,event,demo,1,1,22300,0
2026-06-19,Priya Nair,Central,inbound,demo,1,1,24600,0
2026-06-19,Sam Okafor,East,referral,closing,1,1,11500,0
2026-06-19,Sam Okafor,East,inbound,closing,1,0,0,0
2026-06-19,Taylor Reed,West,outbound,discovery,1,1,8600,0
2026-06-19,Taylor Reed,West,outbound,demo,1,0,0,0
2026-06-19,Taylor Reed,West,referral,closing,1,1,5400,0
2026-06-19,Taylor Reed,West,inbound,follow-up,1,1,13000,9300
2026-06-22,Avery Chen,West,event,demo,1,1,20100,0
2026-06-22,Jordan Blake,East,partner,discovery,1,0,0,0
2026-06-22,Priya Nair,Central,outbound,discovery,1,1,8000,0
2026-06-22,Priya Nair,Central,referral,follow-up,1,0,0,0
2026-06-22,Priya Nair,Central,outbound,discovery,1,1,21600,0
2026-06-22,Priya Nair,Central,referral,closing,1,0,0,0
2026-06-22,Sam Okafor,East,inbound,follow-up,1,1,9800,0
2026-06-22,Sam Okafor,East,partner,follow-up,1,0,0,0
2026-06-22,Sam Okafor,East,event,closing,1,0,0,0
2026-06-22,Taylor Reed,West,inbound,follow-up,1,1,20200,0
2026-06-22,Taylor Reed,West,partner,follow-up,1,0,0,0
2026-06-22,Taylor Reed,West,partner,closing,1,1,23000,0
2026-06-22,Taylor Reed,West,inbound,follow-up,1,0,0,0
2026-06-23,Avery Chen,West,outbound,closing,1,1,4600,0
2026-06-23,Avery Chen,West,outbound,discovery,1,1,9800,0
2026-06-23,Jordan Blake,East,referral,follow-up,1,1,18000,0
2026-06-23,Jordan Blake,East,outbound,follow-up,1,1,7400,0
2026-06-23,Priya Nair,Central,outbound,follow-up,1,0,0,0
2026-06-23,Sam Okafor,East,inbound,discovery,1,0,0,0
2026-06-23,Taylor Reed,West,partner,closing,1,1,19200,0
2026-06-24,Avery Chen,West,outbound,closing,1,0,0,0
2026-06-24,Jordan Blake,East,partner,demo,1,0,0,0
2026-06-24,Jordan Blake,East,inbound,discovery,1,1,18700,0
2026-06-24,Jordan Blake,East,outbound,demo,1,1,18100,0
2026-06-24,Jordan Blake,East,event,closing,1,1,24400,13100
2026-06-24,Priya Nair,Central,partner,closing,1,0,0,0
2026-06-24,Priya Nair,Central,partner,closing,1,1,23200,0
2026-06-24,Priya Nair,Central,inbound,closing,1,1,18300,0
2026-06-24,Sam Okafor,East,inbound,demo,1,1,23600,0
2026-06-24,Taylor Reed,West,referral,demo,1,0,0,0
2026-06-25,Avery Chen,West,referral,closing,1,0,0,0
2026-06-25,Avery Chen,West,inbound,demo,1,1,14900,11200
2026-06-25,Jordan Blake,East,outbound,demo,1,1,14400,0
2026-06-25,Jordan Blake,East,referral,closing,1,1,17100,0
2026-06-25,Priya Nair,Central,referral,demo,1,1,10100,5200
2026-06-25,Priya Nair,Central,partner,closing,1,1,7000,0
2026-06-25,Priya Nair,Central,outbound,follow-up,1,1,18400,0
2026-06-25,Sam Okafor,East,referral,follow-up,1,0,0,0
2026-06-25,Sam Okafor,East,event,discovery,1,0,0,0
2026-06-25,Sam Okafor,East,event,closing,1,0,0,0
2026-06-25,Sam Okafor,East,referral,follow-up,1,0,0,0
2026-06-25,Taylor Reed,West,event,discovery,1,0,0,0
2026-06-25,Taylor Reed,West,partner,discovery,1,0,0,0
2026-06-25,Taylor Reed,West,referral,discovery,1,0,0,0
2026-06-25,Taylor Reed,West,outbound,closing,1,1,21600,0
2026-06-26,Avery Chen,West,outbound,closing,1,0,0,0
2026-06-26,Avery Chen,West,referral,follow-up,1,1,10400,0
2026-06-26,Avery Chen,West,event,demo,1,1,12900,0
2026-06-26,Avery Chen,West,outbound,demo,1,1,15400,4900
2026-06-26,Jordan Blake,East,referral,discovery,1,1,17700,8800
2026-06-26,Jordan Blake,East,event,closing,1,1,7700,5600
2026-06-26,Jordan Blake,East,inbound,follow-up,1,1,21700,0
2026-06-26,Jordan Blake,East,outbound,closing,1,0,0,0
2026-06-26,Priya Nair,Central,referral,demo,1,1,11300,0
2026-06-26,Sam Okafor,East,partner,demo,1,1,18800,0
2026-06-26,Sam Okafor,East,referral,discovery,1,0,0,0
2026-06-26,Taylor Reed,West,event,discovery,1,1,15900,0
2026-06-26,Taylor Reed,West,inbound,follow-up,1,1,25600,0
2026-06-26,Taylor Reed,West,event,demo,1,0,0,0
2026-06-26,Taylor Reed,West,inbound,discovery,1,1,20900,18500
2026-06-29,Avery Chen,West,inbound,follow-up,1,1,8700,3300
2026-06-29,Avery Chen,West,referral,closing,1,1,15100,0
2026-06-29,Avery Chen,West,referral,follow-up,1,1,14200,9400
2026-06-29,Jordan Blake,East,event,demo,1,1,18700,0
2026-06-29,Jordan Blake,East,outbound,discovery,1,1,13800,0
2026-06-29,Priya Nair,Central,partner,discovery,1,1,9200,0
2026-06-29,Sam Okafor,East,outbound,demo,1,0,0,0
2026-06-29,Sam Okafor,East,event,demo,1,1,19100,0
2026-06-29,Sam Okafor,East,event,demo,1,1,8700,0
2026-06-29,Sam Okafor,East,inbound,demo,1,1,19300,0
2026-06-29,Taylor Reed,West,referral,demo,1,1,16300,0
2026-06-30,Avery Chen,West,inbound,demo,1,1,16200,14500
2026-06-30,Avery Chen,West,inbound,discovery,1,1,15000,0
2026-06-30,Avery Chen,West,outbound,discovery,1,1,13500,0
2026-06-30,Jordan Blake,East,referral,discovery,1,0,0,0
2026-06-30,Jordan Blake,East,partner,demo,1,1,24400,0
2026-06-30,Priya Nair,Central,outbound,discovery,1,1,23700,0
2026-06-30,Priya Nair,Central,referral,follow-up,1,1,6400,0
2026-06-30,Sam Okafor,East,outbound,discovery,1,1,9900,3400
2026-06-30,Taylor Reed,West,outbound,follow-up,1,1,19400,0
2026-06-30,Taylor Reed,West,outbound,closing,1,1,19400,15300
2026-06-30,Taylor Reed,West,referral,discovery,1,1,18000,0
2026-06-30,Taylor Reed,West,referral,follow-up,1,1,12700,0
2026-07-01,Avery Chen,West,event,follow-up,1,1,19100,0
2026-07-01,Jordan Blake,East,outbound,follow-up,1,0,0,0
2026-07-01,Jordan Blake,East,outbound,discovery,1,1,6100,0
2026-07-01,Jordan Blake,East,event,discovery,1,1,7300,2200
2026-07-01,Jordan Blake,East,referral,follow-up,1,0,0,0
2026-07-01,Priya Nair,Central,referral,demo,1,1,25100,0
2026-07-01,Priya Nair,Central,partner,demo,1,1,15700,0
2026-07-01,Priya Nair,Central,inbound,closing,1,1,7600,3900
2026-07-01,Sam Okafor,East,outbound,demo,1,0,0,0
2026-07-01,Sam Okafor,East,referral,discovery,1,1,10500,0
2026-07-01,Sam Okafor,East,outbound,demo,1,0,0,0
2026-07-01,Taylor Reed,West,event,demo,1,0,0,0
2026-07-02,Avery Chen,West,event,follow-up,1,1,19900,0
2026-07-02,Avery Chen,West,referral,discovery,1,1,10100,9200
2026-07-02,Avery Chen,West,outbound,discovery,1,0,0,0
2026-07-02,Avery Chen,West,event,discovery,1,1,10400,0
2026-07-02,Jordan Blake,East,partner,follow-up,1,1,13600,0
2026-07-02,Jordan Blake,East,referral,demo,1,0,0,0
2026-07-02,Jordan Blake,East,referral,follow-up,1,1,21200,0
2026-07-02,Jordan Blake,East,outbound,follow-up,1,0,0,0
2026-07-02,Priya Nair,Central,referral,demo,1,1,17700,0
2026-07-02,Sam Okafor,East,partner,demo,1,1,4800,0
2026-07-02,Sam Okafor,East,event,demo,1,1,6800,2800
2026-07-02,Taylor Reed,West,outbound,closing,1,1,15900,0
2026-07-02,Taylor Reed,West,inbound,demo,1,1,12000,0
2026-07-02,Taylor Reed,West,inbound,discovery,1,1,15400,0
2026-07-02,Taylor Reed,West,outbound,discovery,1,0,0,0
2026-07-03,Avery Chen,West,referral,discovery,1,1,20500,0
2026-07-03,Avery Chen,West,inbound,closing,1,1,14000,11700
2026-07-03,Avery Chen,West,inbound,closing,1,1,7600,0
2026-07-03,Jordan Blake,East,event,follow-up,1,0,0,0
2026-07-03,Jordan Blake,East,event,discovery,1,1,24200,0
2026-07-03,Jordan Blake,East,inbound,demo,1,1,23000,0
2026-07-03,Jordan Blake,East,outbound,demo,1,1,20200,0
2026-07-03,Priya Nair,Central,inbound,closing,1,1,15300,0
2026-07-03,Priya Nair,Central,inbound,demo,1,0,0,0
2026-07-03,Sam Okafor,East,partner,follow-up,1,1,21100,0
2026-07-03,Sam Okafor,East,referral,discovery,1,1,2600,0
2026-07-03,Sam Okafor,East,event,discovery,1,1,7700,0
2026-07-03,Taylor Reed,West,inbound,discovery,1,1,2800,0
2026-07-03,Taylor Reed,West,outbound,discovery,1,1,3900,0
2026-07-03,Taylor Reed,West,partner,closing,1,1,18800,0
2026-07-03,Taylor Reed,West,partner,closing,1,0,0,0
2026-07-06,Avery Chen,West,event,discovery,1,1,17900,0
2026-07-06,Jordan Blake,East,inbound,follow-up,1,1,10600,0
2026-07-06,Priya Nair,Central,outbound,closing,1,1,5900,0
2026-07-06,Priya Nair,Central,partner,demo,1,0,0,0
2026-07-06,Priya Nair,Central,inbound,closing,1,1,6400,0
2026-07-06,Sam Okafor,East,referral,discovery,1,1,21200,0
2026-07-06,Sam Okafor,East,event,demo,1,1,14200,0
2026-07-06,Sam Okafor,East,partner,discovery,1,0,0,0
2026-07-06,Sam Okafor,East,inbound,closing,1,1,9100,8100
2026-07-06,Taylor Reed,West,referral,discovery,1,1,24400,0
2026-07-06,Taylor Reed,West,outbound,demo,1,1,13200,0
2026-07-07,Avery Chen,West,event,discovery,1,1,15900,14300
2026-07-07,Avery Chen,West,inbound,demo,1,1,7800,0
2026-07-07,Avery Chen,West,outbound,closing,1,1,19200,0
2026-07-07,Avery Chen,West,inbound,follow-up,1,1,3200,0
2026-07-07,Jordan Blake,East,inbound,closing,1,1,15300,0
2026-07-07,Jordan Blake,East,outbound,discovery,1,1,13900,0
2026-07-07,Priya Nair,Central,outbound,follow-up,1,1,10900,6200
2026-07-07,Priya Nair,Central,partner,discovery,1,1,21100,0
2026-07-07,Priya Nair,Central,partner,follow-up,1,1,24600,0
2026-07-07,Priya Nair,Central,referral,follow-up,1,0,0,0
2026-07-07,Sam Okafor,East,outbound,discovery,1,1,19200,0
2026-07-07,Sam Okafor,East,event,discovery,1,0,0,0
2026-07-07,Sam Okafor,East,inbound,closing,1,1,20800,0
2026-07-07,Sam Okafor,East,event,discovery,1,1,25400,24200
2026-07-07,Taylor Reed,West,inbound,demo,1,1,8500,0
2026-07-07,Taylor Reed,West,referral,closing,1,1,19300,0
2026-07-07,Taylor Reed,West,outbound,follow-up,1,1,18000,6400
2026-07-08,Avery Chen,West,inbound,follow-up,1,1,19400,0
2026-07-08,Avery Chen,West,inbound,closing,1,1,25400,17900
2026-07-08,Avery Chen,West,referral,demo,1,1,23300,20700
2026-07-08,Avery Chen,West,outbound,closing,1,0,0,0
2026-07-08,Jordan Blake,East,event,demo,1,0,0,0
2026-07-08,Jordan Blake,East,partner,follow-up,1,1,17900,0
2026-07-08,Priya Nair,Central,inbound,closing,1,1,2200,0
2026-07-08,Sam Okafor,East,outbound,closing,1,1,3800,0
2026-07-08,Sam Okafor,East,inbound,demo,1,0,0,0
2026-07-08,Sam Okafor,East,inbound,closing,1,1,8100,0
2026-07-08,Sam Okafor,East,event,demo,1,1,15600,0
2026-07-08,Taylor Reed,West,inbound,follow-up,1,1,15100,0
2026-07-09,Avery Chen,West,outbound,demo,1,0,0,0
2026-07-09,Jordan Blake,East,inbound,follow-up,1,0,0,0
2026-07-09,Priya Nair,Central,referral,discovery,1,1,16000,0
2026-07-09,Priya Nair,Central,referral,closing,1,0,0,0
2026-07-09,Priya Nair,Central,outbound,closing,1,1,5200,2200
2026-07-09,Sam Okafor,East,referral,closing,1,1,5100,3700
2026-07-09,Taylor Reed,West,outbound,discovery,1,0,0,0
2026-07-10,Avery Chen,West,partner,closing,1,1,8300,0
2026-07-10,Avery Chen,West,outbound,closing,1,1,13600,0
2026-07-10,Avery Chen,West,partner,discovery,1,1,21800,0
2026-07-10,Avery Chen,West,inbound,demo,1,0,0,0
2026-07-10,Jordan Blake,East,event,closing,1,1,15200,0
2026-07-10,Priya Nair,Central,partner,follow-up,1,1,21400,11100
2026-07-10,Priya Nair,Central,partner,demo,1,1,23700,20300
2026-07-10,Priya Nair,Central,partner,discovery,1,1,4200,0
2026-07-10,Priya Nair,Central,outbound,closing,1,0,0,0
2026-07-10,Sam Okafor,East,referral,discovery,1,1,8000,0
2026-07-10,Sam Okafor,East,outbound,closing,1,0,0,0
2026-07-10,Sam Okafor,East,partner,closing,1,1,7600,0
2026-07-10,Sam Okafor,East,event,closing,1,0,0,0
2026-07-10,Taylor Reed,West,referral,follow-up,1,1,2600,0
